# УИР 1, вариант 60 — Данилов Тимофей Николаевич, P3331
# Источник: !_УИР1_Варианты_с.xlsx, лист «51-100», столбец с заголовком 60, строки 2..301
# 300 наблюдений, по одному в строке, в исходном порядке
#
# i	X_i
245	315.11968010264934
246	287.0846435880298
247	256.4512879978711
248	500.0519046700026
249	245.28781121212802
250	396.3949499796274
251	259.8282619337328
252	225.7103183835883
253	482.87791614149563
254	851.2202213628555
255	320.94469377168696
256	324.55536514797046
257	439.6434344954723
258	452.0022205865978
259	404.3948154087848
260	367.70206958379106
261	418.001761879632
262	387.17089739958055
263	724.5790292543552
264	568.0716603260734
265	530.5205092291094
266	296.4296194364399
267	397.37111642879427
268	368.04557751405287
269	279.06692777853215
270	313.9762370426343
271	409.5251296568215
272	604.531671934691
273	365.8808799087318
274	318.31354426789113
275	591.7410165694971
276	447.95754726783974
277	362.1843958514342
278	423.22992519591037
279	267.895107497084
280	377.9804289582968
281	336.94435382897865
282	676.5774384652993
283	355.831850018723
284	353.97139145666233
285	719.1074200896321
286	470.2502871912657
287	492.6670269573327
288	526.1330271961108
289	397.5161812617516
290	468.209403763286
291	380.08471584861803
292	602.2552593197856
293	498.53586804315313
294	473.0575808811509
295	613.9944388947772
296	723.3991389126396
297	424.706789126913
298	373.41803877040553
299	428.97744305845276
300	7.4256097675163595
